1620977400000,49922.00000000,50286.26000000,49829.00000000,49913.11000000,1291.61514700,1620978299999,64614901.55258736,26905,760.19726100,38021415.87966800,0
1620978300000,49913.12000000,50100.60000000,49904.07000000,49987.20000000,734.92283400,1620979199999,36750185.69409711,18093,408.99619300,20452737.83071059,0
1620979200000,49987.19000000,50420.17000000,49880.00000000,50273.23000000,1018.18100200,1620980099999,51100790.19951057,28816,552.74936900,27740849.29914480,0
1620980100000,50275.37000000,50300.00000000,49999.94000000,50135.88000000,913.41807400,1620980999999,45798922.45035077,25429,444.01711100,22265196.50929339,0
1620981000000,50135.88000000,50342.99000000,50047.40000000,50236.23000000,716.05608400,1620981899999,35962023.75400486,21383,323.73483500,16256929.21835908,0
1620981900000,50236.22000000,50413.70000000,50222.58000000,50365.98000000,789.54009800,1620982799999,39719768.43603468,24066,381.97519500,19216780.91793750,0
1620982800000,50365.97000000,50601.11000000,50140.10000000,50554.43000000,1021.89559100,1620983699999,51475535.74027062,27903,548.92517700,27659435.45784849,0
1620983700000,50554.43000000,50745.51000000,50400.00000000,50625.34000000,982.55700100,1620984599999,49669176.93551557,28029,418.23419900,21147117.96592101,0
1620984600000,50622.32000000,50800.00000000,50514.20000000,50728.48000000,1000.25977800,1620985499999,50689213.15990798,26363,444.07245500,22505314.32459887,0
1620985500000,50728.47000000,50730.62000000,50400.00000000,50413.21000000,1032.89418600,1620986399999,52173115.22196470,23558,453.28228700,22891721.63524587,0
1620986400000,50413.21000000,50500.00000000,50213.00000000,50395.71000000,1141.08574400,1620987299999,57486334.56924280,26030,601.07980400,30287153.14816779,0
1620987300000,50395.70000000,50499.96000000,50237.82000000,50368.93000000,642.03415300,1620988199999,32320859.63492548,19314,328.09806500,16518148.83406176,0
1620988200000,50367.35000000,50473.57000000,50276.00000000,50420.00000000,599.56407800,1620989099999,30203223.12475750,18473,313.69620400,15803846.72038160,0
1620989100000,50419.99000000,50767.39000000,50418.60000000,50720.34000000,1579.97904800,1620989999999,79968131.41698039,27181,585.35639400,29621364.27701855,0
1620990000000,50720.34000000,50958.32000000,50552.78000000,50813.07000000,1276.80455100,1620990899999,64857181.27586413,29541,543.02725100,27589895.50255775,0
1620990900000,50813.06000000,50830.90000000,50600.91000000,50639.48000000,669.29090400,1620991799999,33950245.09267493,18811,273.61006800,13878844.89496620,0
1620991800000,50639.49000000,50745.85000000,50481.33000000,50745.85000000,883.47809400,1620992699999,44698860.71135718,19767,365.91060800,18513233.13482482,0
1620992700000,50745.06000000,50745.86000000,50478.79000000,50538.14000000,647.45875800,1620993599999,32736927.68146493,18911,250.24366900,12653489.54667277,0
1620993600000,50538.13000000,50624.93000000,50346.50000000,50397.41000000,1138.24439300,1620994499999,57446050.10947528,23273,427.51603900,21576213.53792831,0
1620994500000,50397.41000000,50475.85000000,50245.16000000,50328.03000000,987.87946800,1620995399999,49721242.04352026,20929,486.26584400,24473783.97036695,0
1620995400000,50328.03000000,50452.29000000,50278.58000000,50377.59000000,571.90717600,1620996299999,28804127.52189479,15058,262.76231400,13234023.26224718,0
1620996300000,50377.60000000,50531.69000000,50226.19000000,50310.83000000,637.72533600,1620997199999,32099213.75727856,18060,291.21943800,14658236.29444742,0
1620997200000,50310.83000000,50400.00000000,50153.23000000,50232.67000000,658.76842000,1620998099999,33119202.36138472,19525,300.20261800,15090451.23713538,0
1620998100000,50231.56000000,50355.38000000,50037.00000000,50349.98000000,696.16071600,1620998999999,34948486.04209265,19479,333.94409400,16763916.14978599,0
1620999000000,50349.98000000,50833.33000000,50333.49000000,50629.77000000,981.70947400,1620999899999,49701933.27249578,24221,496.61476100,25138025.99167116,0
1620999900000,50629.77000000,50977.60000000,50560.07000000,50937.18000000,926.21532200,1621000799999,47088908.92659565,21665,425.58213700,21634889.41827876,0
1621000800000,50937.19000000,50949.96000000,50630.01000000,50720.47000000,771.72637200,1621001699999,39168017.58403724,20344,347.76978700,17648371.76373513,0
1621001700000,50720.47000000,50755.21000000,50539.78000000,50564.54000000,622.21450400,1621002599999,31503195.30515116,17822,297.31821100,15052143.25290798,0
1621002600000,50564.54000000,50748.60000000,50470.87000000,50522.40000000,830.76905600,1621003499999,42038025.29482391,22710,424.92140700,21502742.89163106,0
1621003500000,50520.48000000,50938.90000000,50520.28000000,50873.78000000,784.33003900,1621004399999,39808571.95565309,20924,390.26999400,19810588.35581965,0
1621004400000,50873.78000000,51417.85000000,50873.77000000,51332.74000000,1738.36570700,1621005299999,89056864.61349299,37704,861.16884900,44107689.73466585,0
1621005300000,51332.74000000,51483.00000000,51128.85000000,51337.00000000,937.39049900,1621006199999,48128296.57475443,29451,445.06315200,22851320.03732111,0
1621006200000,51351.00000000,51400.00000000,51199.29000000,51206.16000000,839.55196900,1621007099999,43048496.56621842,28147,366.49685400,18791610.22516471,0
1621007100000,51208.46000000,51273.03000000,51026.99000000,51211.98000000,745.29481300,1621007999999,38119160.40700336,25363,345.15454200,17652827.81856560,0
1621008000000,51211.98000000,51322.41000000,51050.65000000,51132.13000000,965.80086700,1621008899999,49422920.67877957,31358,477.91036300,24454722.20653657,0
1621008900000,51132.13000000,51305.59000000,50940.31000000,51024.52000000,856.85018800,1621009799999,43807119.52026958,31322,362.07965000,18511305.64891266,0
1621009800000,51026.96000000,51200.00000000,50660.59000000,50728.02000000,1167.72946500,1621010699999,59453890.96756572,32842,455.57718200,23196689.08737333,0
1621010700000,50728.02000000,50968.00000000,50728.01000000,50809.00000000,757.56954800,1621011599999,38528440.45997104,20903,308.37309500,15681165.50863869,0
1621011600000,50809.00000000,51053.74000000,50731.46000000,50857.16000000,888.70340100,1621012499999,45231090.25715795,20851,447.31852300,22765309.35013082,0
1621012500000,50857.16000000,50894.04000000,50721.00000000,50721.01000000,486.02700200,1621013399999,24680316.23705959,15405,224.86865700,11418202.47242160,0
1621013400000,50721.00000000,50836.98000000,50490.26000000,50658.62000000,715.11794600,1621014299999,36219781.02383171,19010,296.04961300,14999392.74056239,0
1621014300000,50658.62000000,50706.64000000,50556.04000000,50569.36000000,542.75380200,1621015199999,27484917.72573877,14851,217.10885400,10994773.43312013,0
1621015200000,50569.37000000,50679.78000000,50512.00000000,50655.17000000,641.26685000,1621016099999,32456123.77915260,18445,276.91882700,14014735.71608798,0
1621016100000,50655.16000000,50728.96000000,50330.62000000,50382.02000000,1080.48078400,1621016999999,54646136.93272654,22358,369.84533000,18699721.57059760,0
1621017000000,50382.85000000,50617.10000000,50334.89000000,50384.11000000,780.65604200,1621017899999,39393889.73559695,20731,355.40133400,17932679.68550794,0
1621017900000,50383.00000000,50611.33000000,50356.13000000,50470.07000000,935.72918500,1621018799999,47245205.37171231,18829,448.53129800,22646468.44927573,0
1621018800000,50470.89000000,50479.49000000,50083.80000000,50200.00000000,861.10860600,1621019699999,43308017.39823003,22693,378.97488700,19057629.29180337,0
1621019700000,50200.01000000,50350.65000000,50132.08000000,50178.51000000,588.87734900,1621020599999,29588059.75483948,17232,277.75518700,13956332.81967514,0
1621020600000,50179.65000000,50379.87000000,50179.65000000,50264.76000000,625.26162400,1621021499999,31437505.91997068,16050,314.81189700,15828201.64119178,0
1621021500000,50264.77000000,50271.84000000,50099.98000000,50138.09000000,577.08195100,1621022399999,28958870.24294962,14876,222.92627300,11186594.58573666,0
1621022400000,50141.33000000,50294.60000000,50099.42000000,50254.91000000,590.30242000,1621023299999,29639281.68148240,15750,269.72131500,13542917.84306286,0
1621023300000,50254.92000000,50254.92000000,49675.43000000,49736.55000000,922.55195400,1621024199999,46119911.63525987,25640,391.36355900,19570424.76525681,0
